,Date,Team,Relinquished,Notes,Player,Reg_games_missed,Post_games_missed,Out_for_season,Season,Year,Game_number,note_keyword,category
0,2010-10-26,Portland Trailblazers,Elliot Williams,placed on IL,Elliot Williams,4.0,0.0,0,regular,2010,1,roster move,healthy inactive
1,2010-10-26,Phoenix Suns,Matt Janning,placed on IL,No Match,,,1,regular,2010,1,roster move,healthy inactive
2,2010-10-26,Houston Rockets,Patrick Patterson,placed on IL,Patrick Patterson,81.0,0.0,1,regular,2010,1,roster move,healthy inactive
3,2010-10-26,Houston Rockets,Kyle Lowry,placed on IL with back spasms,Kyle Lowry,2.0,0.0,0,regular,2010,1,back,torso
4,2010-10-26,Houston Rockets,Jermaine Taylor,placed on IL,Jermaine Taylor,1.0,0.0,0,regular,2010,1,roster move,healthy inactive
5,2010-10-26,Los Angeles Lakers,Luke Walton,placed on IL with strained right hamstring,Luke Walton,5.0,0.0,0,regular,2010,1,hamstring,upper leg
6,2010-10-26,Los Angeles Lakers,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments,Andrew Bynum,24.0,0.0,0,regular,2010,1,knee,knee
7,2010-10-26,Miami Heat,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage,Mike Miller,29.0,0.0,0,regular,2010,1,hand,hand
8,2010-10-26,Phoenix Suns,Gani Lawal,placed on IL,Gani Lawal,9.0,0.0,0,regular,2010,1,roster move,healthy inactive
9,2010-10-26,Miami Heat,Dexter Pittman,placed on IL,Dexter Pittman,75.0,0.0,0,regular,2010,1,roster move,healthy inactive
10,2010-10-26,Boston Celtics,Luke Harangody,placed on IL,Luke Harangody,2.0,0.0,0,regular,2010,1,roster move,healthy inactive
11,2010-10-26,Boston Celtics,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL,Kendrick Perkins,43.0,0.0,0,regular,2010,1,ACL,knee
