,Date,Team,Relinquished,Notes,Player,Reg_games_missed,Post_games_missed,Out_for_season,Season,Year,Game_number,note_keyword,category,Pos,Age,Team_y,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
0,2010-08-03,Los Angeles Clippers,Craig Smith,arthroscopic surgery on right knee (out indefinitely),Craig Smith,0.0,0.0,,off,2009,1,knee,knee,,,,,,,,,
1,2010-08-13,Dallas Mavericks,Rodrigue Beaubois,surgery on left foot to repair broken fifth metatarsal (out indefinitely),Rodrigue Beaubois,0.0,0.0,,off,2009,1,foot,foot,,,,,,,,,
2,2010-08-14,Golden State Warriors,Ekpe Udoh,surgery on left wrist (out indefinitely),Ekpe Udoh,0.0,0.0,,off,2009,1,wrist,arm,,,,,,,,,
3,2010-09-21,Toronto Raptors,Ed Davis (a),arthroscopic surgery on right kene to repair torn meniscus (out indefinteily),Ed Davis,0.0,0.0,,off,2009,1,knee,knee,,,,,,,,,
4,2010-09-21,Oklahoma City Thunder,Nenad Krstic,surgery on right hand to repair broken finger (out indefinitely),Nenad Krstic,0.0,0.0,,off,2009,1,hand,hand,,,,,,,,,
5,2010-09-24,Charlotte Bobcats,Kwame Brown,sprained left ankle (out indefinitely),Kwame Brown,0.0,0.0,,off,2009,1,ankle,lower leg,,,,,,,,,
6,2010-09-27,New York Knicks,Eddy Curry,strained right hamstring (out indefinitely),Eddy Curry,0.0,0.0,,off,2009,1,hamstring,upper leg,,,,,,,,,
7,2010-09-27,Houston Rockets,Brad Miller,sprained left ankle (DTD),Brad Miller,0.0,0.0,,off,2009,1,ankle,lower leg,,,,,,,,,
8,2010-09-29,Orlando Magic,Jason Williams,arthroscopic surgery on left knee (out indefinitely) (date approximate),Jason Williams,0.0,0.0,,off,2009,1,knee,knee,,,,,,,,,
9,2010-10-03,Chicago Bulls,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),Carlos Boozer,0.0,0.0,,off,2009,1,finger,hand,,,,,,,,,
10,2010-10-06,Detroit Pistons,Jonas Jerebko,torn right Achilles tendon (out indefinitely),Jonas Jerebko,0.0,0.0,,off,2009,1,achilles,lower leg,,,,,,,,,
11,2010-10-06,Detroit Pistons,Terrico White,broken fifth metatarsal in right foot (out indefinitely),No Match,0.0,0.0,,off,2009,1,foot,foot,,,,,,,,,
12,2010-10-08,Portland Trailblazers,Jeff Pendergraph / Jeff Ayres,torn ACL in right knee (out indefinitely),Jeff Ayres,0.0,0.0,,off,2009,1,ACL,knee,,,,,,,,,
13,2010-10-08,New Jersey Nets,Troy Murphy,strained lower back (out indefinitely),Troy Murphy,0.0,0.0,,off,2009,1,back,torso,,,,,,,,,
14,2010-10-08,Detroit Pistons,Jonas Jerebko,surgery to repair torn right Achilles tendon,Jonas Jerebko,0.0,0.0,,off,2009,1,achilles,lower leg,,,,,,,,,
15,2010-10-08,Detroit Pistons,Terrico White,surgery on right foot to repair broken fifth metatarsal,No Match,0.0,0.0,,off,2009,1,foot,foot,,,,,,,,,
16,2010-10-09,Denver Nuggets,Al Harrington,partially torn plantar fascia in left foot (out indefinitely),Al Harrington,0.0,0.0,,off,2009,1,foot,foot,,,,,,,,,
17,2010-10-12,Milwaukee Bucks,Darington Hobson,surgery on left hip (out for season),Darington Hobson,0.0,0.0,,off,2009,1,hip,upper leg,,,,,,,,,
18,2010-10-12,Sacramento Kings,Samuel Dalembert,strained left groin (out indefinitely),Samuel Dalembert,0.0,0.0,,off,2009,1,groin,upper leg,,,,,,,,,
19,2010-10-17,Charlotte Bobcats,Dominic McGuire,stress fracture in left shin (out indefinitely),Dominic McGuire,0.0,0.0,,off,2009,1,shin,lower leg,,,,,,,,,
