,Year,Season,Player,Pos,Age,Team,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
0,1993,regular,Alaa Abdelnaby,PF,25,Boston Celtics,13,0,12.2,0.0,158.6,0.0
1,1993,regular,Mahmoud Abdul-Rauf,PG,24,Denver Nuggets,80,78,32.7,0.0,2616.0,0.0
2,1993,regular,Michael Adams,PG,31,Washington Bullets,70,67,33.4,0.0,2338.0,0.0
3,1993,regular,Mark Aguirre,SF,34,Los Angeles Clippers,39,0,22.0,0.0,858.0,0.0
4,1993,regular,Danny Ainge,SG,34,Phoenix Suns,68,1,22.9,0.0,1557.1999999999998,0.0
5,1993,regular,Gary Alexander,PF,24,TOT,11,0,5.0,0.0,55.0,0.0
8,1993,regular,Victor Alexander,C,24,Golden State Warriors,69,39,19.1,0.0,1317.9,0.0
9,1993,regular,Eric Anderson,PF,23,New York Knicks,11,0,3.5,0.0,38.5,0.0
10,1993,regular,Greg Anderson,PF,29,Detroit Pistons,77,47,21.1,0.0,1624.7,0.0
11,1993,regular,Kenny Anderson,PG,23,New Jersey Nets,82,82,38.2,0.0,3132.4,0.0
12,1993,regular,Nick Anderson,SG,26,Orlando Magic,81,81,34.7,0.0,2810.7000000000003,0.0
13,1993,regular,Ron Anderson,SF,35,TOT,21,2,17.0,0.0,357.0,0.0
16,1993,regular,Willie Anderson,SG,27,San Antonio Spurs,80,79,31.1,0.0,2488.0,0.0
17,1993,regular,Greg Anthony,PG,26,New York Knicks,80,36,24.9,0.0,1992.0,0.0
18,1993,regular,BJ Armstrong,PG,26,Chicago Bulls,82,82,33.8,0.0,2771.6,0.0
19,1993,regular,Vincent Askew,SG,27,Seattle Supersonics,80,3,21.1,0.0,1688.0,0.0
20,1993,regular,Keith Askins,SF,26,Miami Heat,37,0,8.6,0.0,318.2,0.0
21,1993,regular,Stacey Augmon,SG,25,Atlanta Hawks,82,82,31.8,0.0,2607.6,0.0
22,1993,regular,Isaac Austin,C,24,Philadelphia 76ers,14,0,14.4,0.0,201.6,0.0
23,1993,regular,Anthony Avent,PF,24,TOT,74,40,18.5,0.0,1369.0,0.0
26,1993,regular,John Bagley,PG,33,Atlanta Hawks,3,0,4.3,0.0,12.899999999999999,0.0
27,1993,regular,Thurl Bailey,PF,32,Minnesota Timberwolves,79,3,16.4,0.0,1295.6,0.0
28,1993,regular,Vin Baker,C,22,Milwaukee Bucks,82,63,31.2,0.0,2558.4,0.0
29,1993,regular,Charles Barkley,PF,30,Phoenix Suns,65,65,35.4,0.0,2301.0,0.0
30,1993,regular,Dana Barros,PG,26,Philadelphia 76ers,81,70,31.1,0.0,2519.1,0.0
31,1993,regular,Jon Barry,SG,24,Milwaukee Bucks,72,7,17.3,0.0,1245.6000000000001,0.0
32,1993,regular,John Battle,SG,31,Cleveland Cavaliers,51,1,16.0,0.0,816.0,0.0
33,1993,regular,Benoit Benjamin,C,29,New Jersey Nets,77,74,23.6,0.0,1817.2,0.0
34,1993,regular,Tony Bennett,PG,24,Charlotte Hornets,74,5,13.3,0.0,984.2,0.0
35,1993,regular,David Benoit,SF,25,Utah Jazz,55,18,19.5,0.0,1072.5,0.0
36,1993,regular,Rolando Blackman,SG,34,New York Knicks,55,1,17.6,0.0,968.0000000000001,0.0
37,1993,regular,Mookie Blaylock,PG,26,Atlanta Hawks,81,81,36.0,0.0,2916.0,0.0
38,1993,regular,Corie Blount,PF,25,Chicago Bulls,67,8,10.3,0.0,690.1,0.0
39,1993,regular,Muggsy Bogues,PG,29,Charlotte Hornets,77,77,35.7,0.0,2748.9,0.0
40,1993,regular,Manute Bol,C,31,TOT,14,0,8.3,0.0,116.20000000000002,0.0
44,1993,regular,Walter Bond,SG,24,Utah Jazz,56,4,10.0,0.0,560.0,0.0
45,1993,regular,Anthony Bonner,SF,25,New York Knicks,73,38,19.2,0.0,1401.6,0.0
46,1993,regular,Anthony Bowie,SG,30,Orlando Magic,70,0,13.5,0.0,945.0,0.0
47,1993,regular,Sam Bowie,C,32,Los Angeles Lakers,25,7,22.2,0.0,555.0,0.0
48,1993,regular,Shawn Bradley,C,21,Philadelphia 76ers,49,45,28.3,0.0,1386.7,0.0
49,1993,regular,Terrell Brandon,PG,23,Cleveland Cavaliers,73,10,21.2,0.0,1547.6,0.0
50,1993,regular,Randy Breuer,C,33,Sacramento Kings,26,3,9.5,0.0,247.0,0.0
51,1993,regular,Frank Brickowski,C,34,TOT,71,46,29.5,0.0,2094.5,0.0
54,1993,regular,Kevin Brooks,SF,24,Denver Nuggets,34,0,5.6,0.0,190.39999999999998,0.0
55,1993,regular,Scott Brooks,PG,28,Houston Rockets,73,0,16.8,0.0,1226.4,0.0
56,1993,regular,Chucky Brown,SF,25,Dallas Mavericks,1,0,10.0,0.0,10.0,0.0
57,1993,regular,Dee Brown,SG,25,Boston Celtics,77,76,37.2,0.0,2864.4,0.0
58,1993,regular,Mike Brown,C,30,Minnesota Timberwolves,82,40,23.4,0.0,1918.8,0.0
59,1993,regular,PJ Brown,C,24,New Jersey Nets,79,54,24.7,0.0,1951.3,0.0
60,1993,regular,Randy Brown,PG,25,Sacramento Kings,61,2,17.1,0.0,1043.1000000000001,0.0
61,1993,regular,Mark Bryant,C,28,Portland Trailblazers,79,10,18.2,0.0,1437.8,0.0
62,1993,regular,Jud Buechler,SF,25,Golden State Warriors,36,0,6.1,0.0,219.6,0.0
63,1993,regular,Matt Bullard,PF,26,Houston Rockets,65,0,11.2,0.0,728.0,0.0
64,1993,regular,Evers Burns,PF,22,Sacramento Kings,23,0,6.2,0.0,142.6,0.0
